gene_name;Promoter;Enhancer;log2FoldChange
IL1B;0;2.29808700476064;9.94973242414408
MMP9;3.93724416852834;0;9.52638274396716
CSF2;2.22410583225115;0;9.40011793420456
IL4I1;0;2.92347039555808;8.48465960473635
CCL1;2.08463752685338;2.15401221421398;7.69858478242336
SLAMF8;0;2.56102153414818;7.20443235409364
CSF1;0;2.31887261678089;6.62015120764682
MGLL;0;2.82118242029858;6.39855517613055
CCR2;0;2.79863773929687;-6.11959899630983
IRAK2;0;3.46803363258523;6.05276865948251
CD274;3.80618458193525;3.80618458193525;6.02388622557021
ADORA2A;0;3.16609182914902;5.92362154012617
TNF;0;2.79972724928715;5.8279065040007
IGF2;3.87625256001719;0;5.82119110518677
C5AR1;2.08463752685338;0;5.6830544917684
CD80;0;2.08559508200893;5.63837805523962
SRC;0;2.17746370492462;5.5101690061206
EPHB2;0;2.20594244450286;5.26893734263118
BCL6;0;-2.86962144668473;5.14829280911011
BCL6;0;2.42235085906743;5.14829280911011
SPP1;4.14600125593875;0;5.09967236878916
SEMA7A;0;3.75812384572158;4.81203324779358
CX3CR1;0;2.03435801130973;-4.80608016358133
HBEGF;2.15552124834507;2.49639989609814;4.63425768355404
DAB2;2.84123469778833;2.84123469778833;4.47710672120679
CD44;3.5715499306739;2.38482795390489;4.46043800570972
NT5E;0;2.23016340972102;4.45857529305906
PDGFRA;2.26756647936895;0;4.36685003657142
LGALS3;3.34150378720961;2.05515096911677;4.06906211012603
RHBDF2;0;2.16177404140137;3.97585002889382
THBS4;2.71108785665412;0;-3.93661625542132
NFKBIA;0;2.47607305694999;3.93039737412646
ITGA6;0;3.83946493437568;3.88611821060601
MMP14;0;2.25152695734634;3.84299603075908
EGFR;0;2.90652801317894;3.81941706069595
AOAH;0;2.15217852558854;-3.57874096561894
IFNGR2;0;2.90974209522169;3.37977320362597
NFKB1;2.69384118972876;0;3.28981040088069
MYB;-2.66725359109396;0;-3.27332872461972
NINJ1;0;2.89131948957146;3.21721426472413
VSIR;0;2.22690407127084;-3.21133656208574
CSF1R;3.1532655280323;3.41467569162005;3.20732834561543
CTSH;2.5334049481245;2.5334049481245;3.18336251619619
RAB44;0;2.29543522307259;-3.15891222157951
PPARD;0;3.60755807430685;3.14710621095255
BCAR1;0;2.34829159210637;3.14330007616156
WNT5B;4.29050800121455;0;3.09998784386306
SMAD7;0;2.93289582250211;3.08285910723611
HYAL3;0;2.52071016358621;-3.05844351052864
TGFB2;0;-2.34806517355221;2.96724147800797
TGFB2;0;2.17918871416713;2.96724147800797
TNFRSF1B;0;3.46772453606126;2.90960454004242
FGR;3.65404488569628;3.65404488569628;2.877574461492
ZMIZ1;0;3.08905409080068;2.69167146521407
SEMA3A;2.52712347882837;0;-2.66761489089559
GAL;4.07602480080427;0;2.65427736465843
SLC11A1;0;3.02668972595502;-2.62689392731207
NFAT5;2.31395798438666;2.31395798438666;2.61753664449323
HLA-DQB1;2.92000104760156;2.92000104760156;-2.45230582671804
LY75;0;2.71757547367996;-2.39274484302428
ITGA5;0;2.42816160497311;2.35825853494704
TNIP1;2.52719474826134;3.59894829469847;2.33562199753398
STK10;0;2.39203919289914;2.2111493821449
LIPA;0;2.7346359782394;2.1740942794077
REL;0;2.74726141573081;2.14316606650217
EBI3;3.85214550960954;0;10.0640795808845
IL1A;0;2.29808700476064;10.0568173194451
